type,program_name,program_url,section_path,candidates,message
missing_hours,"Biochemistry, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18534,Degree requirements > Major requirements > Foundation course requirements > Biology courses:,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biochemistry, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18534,Degree requirements > Major requirements > Foundation course requirements > Chemistry courses:,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biochemistry, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18534,Degree requirements > Major requirements > Foundation course requirements > Math courses:,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biochemistry, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18534,Degree requirements > Other course requirements,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biochemistry, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18534,Degree requirements > Biology requirements,"20,12,8",Could not infer required hours for a section that contains course list items.
ambiguous_hours,"English with a concentration in Creative Writing, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18760,"Major requirements, 45 hours > Foundation courses, 12 hours","12,18",Multiple hour values detected; heuristics chose one.
missing_hours,"English with a concentration in Creative Writing, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18760,"Major requirements, 45 hours > Foundation courses, 12 hours > One of the following courses",,Could not infer required hours for a section that contains course list items.
missing_hours,"English with a concentration in Creative Writing, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18760,"Major requirements, 45 hours > Additional requirements, 15 hours > Two additional courses, each from different categories, 6 hours > Critical theory, writing studies and game studies",,Could not infer required hours for a section that contains course list items.
missing_hours,"English with a concentration in Creative Writing, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18760,"Major requirements, 45 hours > Additional requirements, 15 hours > Two additional courses, each from different categories, 6 hours > Race, ethnicity and indigeneity",,Could not infer required hours for a section that contains course list items.
missing_hours,"English with a concentration in Creative Writing, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18760,"Major requirements, 45 hours > Additional requirements, 15 hours > Two additional courses, each from different categories, 6 hours > Gender, sexuality and the body",,Could not infer required hours for a section that contains course list items.
missing_hours,"English with a concentration in Creative Writing, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18760,"Major requirements, 45 hours > Additional requirements, 15 hours > Two additional courses, each from different categories, 6 hours > Early historical period: literature and culture from beginnings to 1800",,Could not infer required hours for a section that contains course list items.
missing_hours,"English with a concentration in Creative Writing, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18760,"Major requirements, 45 hours > Additional requirements, 15 hours > Two additional courses, each from different categories, 6 hours > Middle historical period: literature and culture from 1800-1950",,Could not infer required hours for a section that contains course list items.
missing_hours,"English with a concentration in Creative Writing, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18760,"Major requirements, 45 hours > Additional requirements, 15 hours > Two additional courses, each from different categories, 6 hours > Late historical period: literature and culture from 1950 to the present",,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology with a concentration in Forensic Science, BSBIO",https://catalog.unt.edu/preview_program.php?catoid=37&poid=19010,Degree requirements > Major requirements > Foundation course requirements > Biology courses:,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology with a concentration in Forensic Science, BSBIO",https://catalog.unt.edu/preview_program.php?catoid=37&poid=19010,Degree requirements > Major requirements > Foundation course requirements > Chemistry courses:,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology with a concentration in Forensic Science, BSBIO",https://catalog.unt.edu/preview_program.php?catoid=37&poid=19010,Degree requirements > Major requirements > Foundation course requirements > Math courses:,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology with a concentration in Forensic Science, BSBIO",https://catalog.unt.edu/preview_program.php?catoid=37&poid=19010,Degree requirements > Major requirements > Biology requirements,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology with a concentration in Forensic Science, BSBIO",https://catalog.unt.edu/preview_program.php?catoid=37&poid=19010,Degree requirements > Other course requirements,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology with a concentration in Forensic Science, BSBIO",https://catalog.unt.edu/preview_program.php?catoid=37&poid=19010,Degree requirements > Chemistry requirements,"20,12,8",Could not infer required hours for a section that contains course list items.
missing_hours,"Biology with a concentration in Forensic Science, BSBIO",https://catalog.unt.edu/preview_program.php?catoid=37&poid=19010,Degree requirements > Forensic Science requirements,,Could not infer required hours for a section that contains course list items.
missing_hours,"Applied Arts and Sciences, BAAS with a concentration in Workforce and Technical Administration",https://catalog.unt.edu/preview_program.php?catoid=37&poid=19093,Degree requirements > Focus area in Workforce and Technical Administration,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biochemistry, BSBC",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18535,Degree requirements > Major requirements > Foundation course requirements > Biology courses:,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biochemistry, BSBC",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18535,Degree requirements > Major requirements > Foundation course requirements > Chemistry courses:,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biochemistry, BSBC",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18535,Degree requirements > Major requirements > Foundation course requirements > Math courses:,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biochemistry, BSBC",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18535,Degree requirements > Other course requirements > Math Option 1,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biochemistry, BSBC",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18535,Degree requirements > Other course requirements > Math Option 2,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biochemistry, BSBC",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18535,Degree requirements > Other course requirements > Physics Option 1,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biochemistry, BSBC",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18535,Degree requirements > Other course requirements > Physics Option 2,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biochemistry, BSBC",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18535,Degree requirements > Biology requirements,"20,12,4",Could not infer required hours for a section that contains course list items.
missing_hours,"Chemistry, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18547,Other course requirements,,Could not infer required hours for a section that contains course list items.
missing_hours,"Applied Arts and Sciences, BAAS with a concentration in Industrial Distribution",https://catalog.unt.edu/preview_program.php?catoid=37&poid=19092,Degree requirements > Focus area,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18538,Degree requirements > Major requirements > Foundation course requirements > Biology courses:,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18538,"Degree requirements > Major requirements > Foundation course requirements > Biology courses: > One of the following courses (with lab, if indicated):",,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18538,Degree requirements > Major requirements > Foundation course requirements > Chemistry courses:,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18538,Degree requirements > Major requirements > Foundation course requirements > Math courses:,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18538,"Degree requirements > Major requirements > Biology requirements > Options for the second 2000 level course requirement (with lab, if indicated):",,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18538,Degree requirements > Major requirements > Biology requirements > Advanced biology requirements:,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18538,Degree requirements > Major requirements > Biology requirements > Physiology requirement options (with lab):,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18538,Degree requirements > Major requirements > Biology requirements > Advanced biology electives,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18538,Degree requirements > Other course requirements,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18538,Degree requirements > Chemistry requirements,"20,12,8",Could not infer required hours for a section that contains course list items.
missing_hours,"Biology, BSBIO",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18539,Degree requirements > Major requirements > Foundation course requirements > Biology courses:,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology, BSBIO",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18539,"Degree requirements > Major requirements > Foundation course requirements > Biology courses: > One of the following courses (with lab, if indicated):",,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology, BSBIO",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18539,Degree requirements > Major requirements > Foundation course requirements > Chemistry courses:,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology, BSBIO",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18539,Degree requirements > Major requirements > Foundation course requirements > Math courses:,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology, BSBIO",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18539,"Degree requirements > Major requirements > Biology requirements > Options for the second 2000 level course requirement (with lab, if indicated):",,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology, BSBIO",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18539,Degree requirements > Major requirements > Biology requirements > Advanced biology requirements:,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology, BSBIO",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18539,Degree requirements > Major requirements > Biology requirements > Physiology requirement options (with lab):,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology, BSBIO",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18539,Degree requirements > Major requirements > Biology requirements > Advanced biology electives:,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology, BSBIO",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18539,Degree requirements > Other course requirements,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biology, BSBIO",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18539,Degree requirements > Chemistry requirements,"20,12,8",Could not infer required hours for a section that contains course list items.
missing_hours,"Advertising and Brand Strategy, BS",https://catalog.unt.edu/preview_program.php?catoid=37&poid=19049,Advertising and Brand Strategy > Other course requirements,,Could not infer required hours for a section that contains course list items.
missing_hours,"Applied Project Design and Analysis, BS",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18985,Hours required and general/college requirements > Major requirements,"53,6",Could not infer required hours for a section that contains course list items.
missing_hours,"Chemistry with a concentration in Forensics, BSCHM",https://catalog.unt.edu/preview_program.php?catoid=37&poid=19003,Hours required and general/college requirements > Other course requirements,,Could not infer required hours for a section that contains course list items.
missing_hours,"Chemistry with a concentration in Forensics, BSCHM",https://catalog.unt.edu/preview_program.php?catoid=37&poid=19003,Hours required and general/college requirements > Forensic science requirements,,Could not infer required hours for a section that contains course list items.
missing_hours,"Biomedical Engineering, BS",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18852,Other requirements > Major transfer policy,,Could not infer required hours for a section that contains course list items.
missing_hours,"Business Analytics, BBA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18570,"Business analytics professional field > Approved supporting courses, 12 hours > Remaining hours",,Could not infer required hours for a section that contains course list items.
missing_hours,"Anthropology, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18520,Major requirements,"39,15",Could not infer required hours for a section that contains course list items.
ambiguous_hours,"Art History, BA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18528,Major requirements > 21 hours of advanced art history courses,"21,9",Multiple hour values detected; heuristics chose one.
missing_hours,"Art Education, BFA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18751,Major requirements,"66,21",Could not infer required hours for a section that contains course list items.
missing_hours,"Art Education, BFA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18751,Other course requirements,,Could not infer required hours for a section that contains course list items.
missing_hours,"Business Computer Information Systems, BS",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18541,Upper-level business foundation,,Could not infer required hours for a section that contains course list items.
missing_hours,"Business Computer Information Systems, BS",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18541,Select three elective courses from:,,Could not infer required hours for a section that contains course list items.
missing_hours,"Business Computer Information Systems, BS",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18541,Other requirements,,Could not infer required hours for a section that contains course list items.
missing_hours,"Audiology and Speech-Language Pathology, BS",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18739,Other course requirements,,Could not infer required hours for a section that contains course list items.
missing_hours,"Audiology and Speech-Language Pathology, BS",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18739,Additional requirements > 18 additional hours > Global disorders,,Could not infer required hours for a section that contains course list items.
missing_hours,"Audiology and Speech-Language Pathology, BS",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18739,Additional requirements > 18 additional hours > Child,,Could not infer required hours for a section that contains course list items.
missing_hours,"Audiology and Speech-Language Pathology, BS",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18739,Additional requirements > 18 additional hours > Adult,,Could not infer required hours for a section that contains course list items.
missing_hours,"Audiology and Speech-Language Pathology, BS",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18739,Additional requirements > 18 additional hours > Lifespan,,Could not infer required hours for a section that contains course list items.
missing_hours,"Applied Arts and Sciences, BAAS with a concentration in Applied Heritage Management",https://catalog.unt.edu/preview_program.php?catoid=37&poid=19614,Degree requirements > Focus Area,,Could not infer required hours for a section that contains course list items.
missing_hours,"Applied Arts and Sciences, BAAS with a concentration in Applied Project Design",https://catalog.unt.edu/preview_program.php?catoid=37&poid=19091,Degree requirements > Focus area,,Could not infer required hours for a section that contains course list items.
missing_hours,"Business Integrated Studies, BBA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18605,Professional field > Accounting,,Could not infer required hours for a section that contains course list items.
missing_hours,"Business Integrated Studies, BBA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18605,Professional field > Business Information Systems*,,Could not infer required hours for a section that contains course list items.
missing_hours,"Business Integrated Studies, BBA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18605,Professional field > Business Information Technology*,,Could not infer required hours for a section that contains course list items.
missing_hours,"Business Integrated Studies, BBA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18605,Professional field > Decision Sciences/Business Analytics*,,Could not infer required hours for a section that contains course list items.
missing_hours,"Business Integrated Studies, BBA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18605,Professional field > Economics,,Could not infer required hours for a section that contains course list items.
missing_hours,"Business Integrated Studies, BBA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18605,Professional field > Entrepreneurship,,Could not infer required hours for a section that contains course list items.
missing_hours,"Business Integrated Studies, BBA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18605,Professional field > Financial Services,,Could not infer required hours for a section that contains course list items.
missing_hours,"Business Integrated Studies, BBA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18605,Professional field > Legal Studies in Business,,Could not infer required hours for a section that contains course list items.
missing_hours,"Business Integrated Studies, BBA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18605,Professional field > Marketing - Professional Selling,,Could not infer required hours for a section that contains course list items.
missing_hours,"Business Integrated Studies, BBA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18605,Professional field > Operations and Supply Management,,Could not infer required hours for a section that contains course list items.
missing_hours,"Business Integrated Studies, BBA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18605,Professional field > Organizational Behavior and Human Resource Management,,Could not infer required hours for a section that contains course list items.
missing_hours,"Business Integrated Studies, BBA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18605,Professional field > Risk Management,,Could not infer required hours for a section that contains course list items.
missing_hours,"Business Integrated Studies, BBA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=18605,Additional requirements,,Could not infer required hours for a section that contains course list items.
missing_hours,"Business Integrated Studies - International Track, BBA",https://catalog.unt.edu/preview_program.php?catoid=37&poid=20662,Business Subject Area 2 > Accounting,,Could not infer required hours for a section that contains course list items.
